position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,73,34,22,7,5,73,28,79,4
2,Bayer Leverkusen,73,34,21,10,3,74,36,80,4
3,Hamburger,59,34,16,11,7,63,39,62,3
4,1860 München,53,34,14,11,9,55,48,84,4
5,Kaiserslautern,50,34,15,5,14,54,59,70,5
6,Hertha Berliner,50,34,13,11,10,39,46,78,1
7,Wolfsburg,49,34,12,13,9,51,58,70,1
8,Stuttgart,48,34,14,6,14,44,47,69,6
9,Werder Bremen,47,34,13,8,13,65,52,67,3
10,Unterhaching,44,34,12,8,14,40,42,49,4
11,Borussia Dortmund,40,34,9,13,12,41,38,93,7
12,Freiburg,40,34,10,10,14,45,50,70,4
13,Schalke 04,39,34,8,15,11,42,44,76,2
14,Eintracht Frankfurt,39*,34,12,5,17,42,44,66,2
15,Hansa Rostock,38,34,8,14,12,44,60,76,7
16,Ulm,35,34,9,8,17,36,62,65,7
17,Arminia Bielefeld,30,34,7,9,18,40,61,69,1
18,Duisburg,22,34,4,10,20,37,71,79,8
